Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Backorder,Unit Price,Extended Price
1,12,311-270CRCT-ND,RC0805FR-07270RL,RES SMD 270 OHM 1% 1/8W 0805,RESISTOR 270 OHM,0,0.02100,$0.25
2,15,1276-1007-1-ND,CL21F104ZBCNNNC,CAP CER 0.1UF 50V Y5V 0805,CAPACITOR 100 NF,0,0.03100,$0.47
3,3,311-10.0KCRCT-ND,RC0805FR-0710KL,RES SMD 10K OHM 1% 1/8W 0805,RESISTOR 10 KOHM,0,0.10000,$0.30
4,3,311-1.00KCRCT-ND,RC0805FR-071KL,RES SMD 1K OHM 1% 1/8W 0805,RESISTOR 1 KOHM,0,0.10000,$0.30
5,6,311-1371-1-ND,CC0805ZRY5V6BB475,CAP CER 4.7UF 10V Y5V 0805,CAPACITOR 4.7 UF,0,0.10000,$0.60
6,3,LM3671MF-3.3/NOPBCT-ND,LM3671MF-3.3/NOPB,IC REG BUCK 3.3V 0.6A SYNC SOT23,3.3V REGULATOR,0,0.92000,$2.76
7,3,445-8658-1-ND,MLZ2012M2R2HT000,FIXED IND 2.2UH 600MA 160 MOHM,INDUCTOR 2.2 UH,0,0.15000,$0.45
8,3,311-10.0CRCT-ND,RC0805FR-0710RL,RES SMD 10 OHM 1% 1/8W 0805,RESISTOR 10 OHM,0,0.10000,$0.30
9,6,311-1355-1-ND,CC0805ZKY5V6BB106,CAP CER 10UF 10V Y5V 0805,CAPACITOR 10 UF,0,0.17000,$1.02
10,3,768-1154-5-ND,FT230XS-U,IC USB SERIAL BASIC UART 16SSOP,FTDI CHIP,0,2.04000,$6.12
11,3,507-1811-1-ND,0ZCK0020FF2G,PTC RESTTBLE 0.20A 9V CHIP 0805,PTC FUSE,0,0.15000,$0.45
12,3,160-1423-1-ND,LTST-C171GKT,LED GREEN CLEAR 0805 SMD,LED GREEN,0,0.28000,$0.84
13,3,160-1427-1-ND,LTST-C171KRKT,LED RED CLEAR 0805 SMD,LED RED,0,0.30000,$0.90
14,3,160-1428-1-ND,LTST-C171KSKT,LED YELLOW CLEAR 0805 SMD,LED YELLOW,0,0.32000,$0.96
15,3,160-1579-1-ND,LTST-C170TBKT,LED BLUE CLEAR 0805 SMD,LED BLUE,0,0.44000,$1.32
16,3,609-4618-1-ND,10118194-0001LF,CONN USB MICRO B RECPT SMT R/A,USB MICRO B,0,0.46000,$1.38
17,3,S1011EC-25-ND,PRPC025SAAN-RC,CONN HEADER .100" SNGL STR 25POS,,0,0.55000,$1.65
18,6,311-27ARCT-ND,RC0805JR-0727RL,RES SMD 27 OHM 5% 1/8W 0805,RESISTOR 27 OHM,0,0.10000,$0.60
19,6,1276-1156-1-ND,CL21C470JBANNNC,CAP CER 47PF 50V NP0 0805,CAPACITOR 47 PF,0,0.10000,$0.60
,,,,,,,Subtotal,$21.27